common_name;species;genus;family
LOURO GAMELA;Sextonia rubra;Sextonia ;Lauraceae
LOURO ABACATE;Ocotea percurrens;Ocotea ;Lauraceae
TANIMBUCA;Buchenavia sericocarpa;Buchenavia ;Combretaceae
CASTANHA JACARE;Corythophora rimosa;Corythophora ;Lecythidaceae
FALSA CUPIUBA;Coussarea ampla;Coussarea ;Rubiaceae
CHICLETE BRAVO;Micropholis egensis;Micropholis ;Sapotaceae
RIPEIRO VERMELHO;Corythophora alta;Corythophora ;Lecythidaceae
BREU;Licaria martiniana;Licaria ;Lauraceae
AMAPA AMARGOSO;Brosimum rubescens;Brosimum ;Moraceae
PAU D'ARCO;Handroanthus spp ;Handroanthus ;Bignoniaceae
MUIRAXIMBE;Amaioua corymbosa;Amaioua ;Rubiaceae
RIPEIRO;Eschweilera pseudodecolorans;Eschweilera ;Lecythidaceae
BREU BRANCO;Protium nitidifolium;Protium ;Burseraceae
INHARE;Moraceae spp ;Moraceae ;Moraceae
ARACA BRAVO;Myrtaceae spp ;Myrtaceae ;Myrtaceae
BREU BRANCO;Protium pallidum;Protium ;Burseraceae
ABIURANA FEDORENTA;Pouteria retinervis;Pouteria ;Sapotaceae
ARABA VERMELHO;Swartzia schomburgkii;Swartzia ;Fabaceae
RABO DE ARARA;Connarus perrottetii;Connarus ;Connaraceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
ACARIQUARA BRANCA;Geissospermum argenteum;Geissospermum ;Apocynaceae
LOURO PRETO;Dicypellium manausense;Dicypellium ;Lauraceae
ABIURANA BATINGA;Pouteria spp ;Pouteria ;Sapotaceae
RIPEIRO;Eschweilera bracteosa;Eschweilera ;Lecythidaceae
CAFE BRAVO;Kutchubaea insignis;Kutchubaea ;Rubiaceae
FIGO BRAVO;Ferdinandusa elliptica;Ferdinandusa ;Rubiaceae
PAPO DE MUTUM;Quiina amazonica;Quiina ;Quiinaceae
INHARE;Trymatococcus amazonicus;Trymatococcus ;Moraceae
PITOMBA DA MATA;Sapindaceae spp ;Sapindaceae ;Sapindaceae
BRANQUINHA;Rinorea racemosa;Rinorea ;Violaceae
BRANQUINHA;Rinorea racemosa;Rinorea ;Violaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
ABIURANA CASCA FINA;Pouteria spp ;Pouteria ;Sapotaceae
CASTANHA VERMELHA;Eschweilera cyathiformis;Eschweilera ;Lecythidaceae
SERINGA VERMELHA;Hevea guianensis;Hevea ;Euphorbiaceae
EMBAUBARANA;Pourouma spp ;Pourouma ;Urticaceae
MURICI;Byrsonima cf stipulacea;Byrsonima ;Malpighiaceae
MUIRACATIARA;Astronium lecointei;Astronium ;Anacardiaceae
TAQUARI;Mabea spp ;Mabea ;Euphorbiaceae
MACUCU CHIADOR;Licania spp ;Licania ;Chrysobalanaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
LOURO PRETO;Ocotea nigrescens;Ocotea ;Lauraceae
PAU RAINHA;Brosimum rubescens;Brosimum ;Moraceae
UCUUBA VERMELHA;Virola spp ;Virola ;Myristicaceae
ABIURANA CASCA FINA;Pouteria spp ;Pouteria ;Sapotaceae
FREIJO BRANCO;Cordia sagotii;Cordia ;Boraginaceae
