Parcela;Obs_parcela;N.;Nome_comum;Familia;;DAP;Altura;Altura_medida_estimada;Morta;Tipo;Ano;;
TLO_001a006;NA;1;ARACA BRAVO;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;2;MATAMATA AMARELO;Lecythidaceae;;24,5;19,6;EST;NA;NA;2015;;
TLO_001a006;NA;2I;UCUUBA VERMELHA;NA;;11,1;11,5;EST;NA;NA;2015;;
TLO_001a006;NA;3;RIPEIRO VERMELHO;Lecythidaceae;;16,7;15,2;EST;NA;NA;2015;;
TLO_001a006;NA;4;MATAMATA AMARELO;Lecythidaceae;;22,9;18,7;EST;NA;NA;2015;;
TLO_001a006;NA;5;CASTANHA VERMELHA;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;6;MATAMATA AMARELO;Lecythidaceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;7;BREU VERMELHO;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;8;RIPEIRO VERMELHO;Lecythidaceae;;11,0;11,4;EST;NA;NA;2015;;
TLO_001a006;NA;9;MATAMATA AMARELO;Lecythidaceae;;20,5;17,4;EST;NA;NA;2015;;
TLO_001a006;NA;10;ABIURANA DOURADINHA;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;11;MUIRATINGA;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;12;RIPEIRO VERMELHO;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;13;MATAMATA AMARELO;Lecythidaceae;;17,7;15,8;EST;NA;NA;2015;;
TLO_001a006;NA;13C;TAUARI;Lecythidaceae;;11,4;11,7;EST;NA;NA;2015;;
TLO_001a006;NA;13D;MACUCU CHIADOR;Chrysobalanaceae;;16,8;15,3;EST;NA;NA;2015;;
TLO_001a006;NA;14;ACHICHA;Sterculiaceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;15;CASTANHA JARANA FG;Lecythidaceae;;32,7;23,3;EST;NA;NA;2015;;
TLO_001a006;NA;15C;UXI DE MORCEGO;NA;;15,1;14,2;EST;NA;NA;2015;;
TLO_001a006;NA;15D;DIMA;Euphorbiaceae;;23,0;18,8;EST;NA;NA;2015;;
TLO_001a006;NA;16;MATAMATA AMARELO;Lecythidaceae;;28,5;21,5;EST;NA;NA;2015;;
TLO_001a006;NA;17;CARAIPE;Chrysobalanaceae;;18,5;16,3;EST;NA;NA;2015;;
TLO_001a006;NA;18;MATAMATA AMARELO;Lecythidaceae;;15,2;14,3;EST;NA;NA;2015;;
TLO_001a006;NA;18E;EMBA�BA;Cecropiaceae;;16,5;15,1;EST;NA;NA;2015;;
TLO_001a006;NA;18I;ENVIRA VERMELHA;NA;;10,5;11,0;EST;NA;NA;2015;;
TLO_001a006;NA;19;MATAMATA AMARELO;Araliaceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;20;CHICLETE BRAVO;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;20D;MURICI;Lecythidaceae;;23,1;18,8;EST;NA;NA;2015;;
TLO_001a006;NA;21;CARDEIRO;Malpighiaceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;21D;ING�;NA;;20,5;17,4;EST;NA;NA;2015;;
TLO_001a006;NA;22;CASTANHA JARANA FG;Euphorbiaceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;23;LOURO PRETO;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;24;ABIURANA CASCA FINA;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;15G;EMBAUBARANA;NA;;14,6;13,9;EST;M;NA;2015;;
TLO_001a006;NA;20G;EMBAUBARANA;NA;;13,6;13,2;EST;M;NA;2015;;
TLO_001a006;NA;25;CARDEIRO;Bombacaceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;26;ABIURANA CASCA FINA;Sapotaceae;;57,6;31,3;EST;NA;NA;2015;;
TLO_001a006;NA;26B;MUCURAO;Violaceae;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;26D;DIMA;Euphorbiaceae;;23,0;18,8;EST;NA;NA;2015;;
TLO_001a006;NA;27;CHICLETE BRAVO;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;28;MATAMATA AMARELO;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;29;BREU VERMELHO;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;30;JARAI;Sapotaceae;;25,2;19,9;EST;NA;NA;2015;;
TLO_001a006;NA;31;CASTANHA JARANA FG;Lecythidaceae;;13,4;13,1;EST;NA;NA;2015;;
TLO_001a006;NA;32;LOURO FOFO;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;33;LOURO PRETO;Lauraceae;;26,2;20,4;EST;NA;NA;2015;;
TLO_001a006;NA;34;CHICLETE BRAVO;NA;;NA;NA;EST;M;NA;2015;;
TLO_001a006;NA;35;PAU RAINHA;Moraceae;;33,0;23,4;EST;NA;NA;2015;;
