Parcela;Obs_parcela;N;Nome_comum;DAP;Altura;Altura_medida_estimada;Morta;Tipo;Ano;;;;;;;;;;;
TNS_001a006;NA;1E;MATAMATA AMARELO;23,0;18,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;2;PIÃOZINHO;37,7;25,2;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;3;BREU VERMELHO;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;4;MATAMATA AMARELO;10,9;11,3;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;4E;BREU VERMELHO;14,3;13,7;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;4F;PAU DE TUCANO;11,2;11,5;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;5;SERINGA VERMELHA;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;6;ARABA ROXO;36,0;24,6;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;7;MATAMATA AMARELO;23,2;18,9;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;7H;BREU VERMELHO;12,0;12,1;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;7I;FAVA AMARELA;10,5;11,0;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;8;RIPEIRO VERMELHO;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;9;ABIURANA;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;10;PEPINO DA MATA;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;11;CASTANHA VERMELHA;18,5;16,3;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;11G;RIPEIRO VERMELHO;11,9;12,0;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;12;PIÃOZINHO;49,7;29,2;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;12B;MATAMATA AMARELO;13,0;12,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;12D;PEPINO DA MATA;10,9;11,3;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;13;MANDIOQUEIRA LISA;56,9;31,2;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;14;FALSA CUPIUBA;16,0;14,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;14G;UCUUBA PUNA;11,5;11,7;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;15;ABIURANA FEDORENTA;31,1;22,6;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;16;PIÃOZINHO;28,2;21,3;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;17;FALSA CUPIUBA;20,6;17,5;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;18;PAU TANINO;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;19;ARACA BRAVO;17,3;15,6;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;20;MACUCU CHIADOR;16,2;14,9;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;20 H;TAQUARI VERMELHO;10,2;10,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;21;PIÃOZINHO;28,0;21,2;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;22;TAQUARI VERMELHO;13,5;13,2;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;22I;ABIURANA;10,5;11,0;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;23;MATAMATA AMARELO;16,5;15,1;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;24;ABIURANA ;36,0;24,6;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;25;ABIURANA ROXA;17,5;15,7;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;25H;PIÃOZINHO;11,0;11,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;11J;BUCHUCHU CANELA DE VELHO;NA;NA;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;45J;EMBAUBA GIGANTE;NA;NA;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;26;TACHI VERMELHO;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;27;CHICLETE BRAVO;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;28;BREU VERMELHO;NA;NA;EST;M;NA;2015;;;;;;;;;;;
