_id;common_name;family;genus;species
4;louro branco;lauraceae;aiouea;aiouea cf grandifolia
5;louro preto;lauraceae;aiouea;aiouea cf lehmannii
10;sucupira chorona;fabaceae;andira;andira spp
12;louro amarelo;lauraceae;aniba;aniba panurensis sensu lato
13;louro aritu;lauraceae;aniba;aniba panurensis sensu lato
14;louro falso aritu;lauraceae;aniba;aniba panurensis sensu lato
15;louro fofo;lauraceae;aniba;aniba panurensis sensu lato
16;louro rosa;lauraceae;aniba;aniba panurensis sensu lato
21;ata brava;annonaceae;annonaceae;annonaceae spp
22;envira amargosa;annonaceae;annonaceae;annonaceae spp
23;envira pacovi;annonaceae;annonaceae;annonaceae spp
24;envira preta;annonaceae;annonaceae;annonaceae spp
25;envira taia;annonaceae;annonaceae;annonaceae spp
26;envira taripupu;annonaceae;annonaceae;annonaceae spp
29;piquia marfim;apocynaceae;aspidosperma;aspidosperma spp
30;muiracatiara;anacardiaceae;astronium;astronium cf ulei
33;tanimbuca;combretaceae;buchenavia;buchenavia spp
34;breu manga;burseraceae;burseraceae;burseraceae spp
35;inga vermelha;malpighiaceae;byrsonima;byrsonima cf chrysophylla
36;murici;malpighiaceae;byrsonima;byrsonima cf stipulacea
37;murici mata;malpighiaceae;byrsonima;byrsonima cf stipulacea
46;araca bravo;myrtaceae;calyptranthes;calyptranthes sp
47;ubaia;myrtaceae;calyptranthes;calyptranthes sp
48;piabinha;salicaceae;casearia;casearia spp
51;embauba branca;urticaceae;cecropia;cecropia spp
52;caraiperana;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp
53;macucu fofo;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp
54;pajura mata;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp
55;pajurazinho;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp
56;abiurana bacuri;sapotaceae;chrysophyllum;chrysophyllum aff pomiferum
57;abiurana fedorenta;sapotaceae;chrysophyllum;chrysophyllum aff pomiferum
58;jarai;sapotaceae;chrysophyllum;chrysophyllum sp 2
59;ucuquirana verdadeira;sapotaceae;chrysophyllum;chrysophyllum spp
60;ucuquirana brava;sapotaceae;chrysophyllum;chrysophyllum ucuquirana branca
61;bacuri jacare;clusiaceae;clusiaceae;clusiaceae spp
63;cafe bravo;boraginaceae;cordia;cordia cf trachyphylla
64;freijo branco;boraginaceae;cordia;cordia cf trachyphylla
65;freijo branco;boraginaceae;cordia;cordia sp 1
66;freijo;boraginaceae;cordia;cordia spp
67;freijo branco;boraginaceae;cordia;cordia spp
80;faveira bolacha;fabaceae;elizabetha;elizabetha spp
84;faveira folha fina;fabaceae;enterolobium;enterolobium sp
93;araba roxo;lecythidaceae;eschweilera;eschweilera romeu cardosoi
94;matamata amarelo;lecythidaceae;eschweilera;eschweilera romeu cardosoi
95;ripeiro;lecythidaceae;eschweilera;eschweilera romeu cardosoi
96;ripeiro amarelo;lecythidaceae;eschweilera;eschweilera romeu cardosoi
97;ripeiro branco;lecythidaceae;eschweilera;eschweilera romeu cardosoi
98;ripeiro preto;lecythidaceae;eschweilera;eschweilera romeu cardosoi
99;ripeiro vermelho;lecythidaceae;eschweilera;eschweilera romeu cardosoi
100;tauari;lecythidaceae;eschweilera;eschweilera sp
101;inga branco;lecythidaceae;eschweilera;eschweilera spp
102;mata mata amarelo;lecythidaceae;eschweilera;eschweilera spp
103;matamata amarelo;lecythidaceae;eschweilera;eschweilera spp
104;ripeiro preto;lecythidaceae;eschweilera;eschweilera spp
105;ripeiro vermelho;lecythidaceae;eschweilera;eschweilera spp
109;abiurana casca fina;myrtaceae;eugenia;eugenia cf chartacea
110;abiurana vermelha;myrtaceae;eugenia;eugenia cf chartacea
111;gitorana;myrtaceae;eugenia;eugenia cf illepida
114;seringarana;euphorbiaceae;euphorbiaceae;euphorbiaceae spp
115;araba roxo;fabaceae;fabaceae;fabaceae sp 3
116;piaozinho;fabaceae;fabaceae;fabaceae sp 3
117;faveira rape;fabaceae;fabaceae;fabaceae spp
118;faveira vermelha;fabaceae;fabaceae;fabaceae spp
119;inga mari mari;fabaceae;fabaceae;fabaceae spp
120;ingarana;fabaceae;fabaceae;fabaceae spp
121;jiboinha;fabaceae;fabaceae;fabaceae spp
125;breu vermelho;meliaceae;guarea;guarea carinata/trunciflora
126;gito vermelho;meliaceae;guarea;guarea carinata/trunciflora
127;gito vermelho;meliaceae;guarea;guarea spp
128;envira preta;annonaceae;guatteria;guatteria cf inundata
131;envira fofa;annonaceae;guatteria;guatteria spp
133;taruma;bignoniaceae;handroanthus;handroanthus cf serratifolius
134;pau darco roxo;bignoniaceae;handroanthus;handroanthus incanus
140;macucu murici;humiriaceae;humiriaceae;humiriaceae spp
141;uxi preto;humiriaceae;humiriaceae;humiriaceae spp
142;uxirana;humiriaceae;humiriaceae;humiriaceae spp
143;gitorana;indeterminado;#valor!;indeterminado
144;gogo guariba;indeterminado;#valor!;indeterminado
145;orelha burro;indeterminado;#valor!;indeterminado
146;uxi cotia;indeterminado;#valor!;indeterminado
147;inga vermelha;fabaceae;inga;inga cf cordatoalata
148;inga arara;fabaceae;inga;inga cf leiocalycina
149;inga vermelha;fabaceae;inga;inga cf leiocalycina
150;ingarana;fabaceae;inga;inga cf leiocalycina
152;inga branca;fabaceae;inga;inga spp
153;inga branco;fabaceae;inga;inga spp
154;inga peluda;fabaceae;inga;inga spp
155;inga vermelha;fabaceae;inga;inga spp
160;ucuuba;myristicaceae;iryanthera;iryanthera spp
161;ucuuba puna;myristicaceae;iryanthera;iryanthera spp
165;branquinha;lacistemataceae;lacistema;lacistema aggregatum/polystachyum
166;pimenta nambu;lacistemataceae;lacistema;lacistema spp
168;louro abacate;lauraceae;lauraceae;lauraceae spp
169;louro aritu;lauraceae;lauraceae;lauraceae spp
170;louro branco;lauraceae;lauraceae;lauraceae spp
171;louro falso aritu;lauraceae;lauraceae;lauraceae spp
172;louro fofo;lauraceae;lauraceae;lauraceae spp
173;louro inhamui;lauraceae;lauraceae;lauraceae spp
174;louro preto;lauraceae;lauraceae;lauraceae spp
175;tauari;lecythidaceae;lecythidaceae;lecythidaceae spp
176;castanha jarana fm;lecythidaceae;lecythis;lecythis aff poiteaui
177;castanha jarana fm;lecythidaceae;lecythis;lecythis cf chartacea
178;castanha jarana fm;lecythidaceae;lecythis;lecythis cf gracieana
179;castanha sapucaia;lecythidaceae;lecythis;lecythis cf parvifructa
180;castanha jarana;lecythidaceae;lecythis;lecythis spp
181;castanha jarana fm;lecythidaceae;lecythis;lecythis spp
182;castanha sapucaia;lecythidaceae;lecythis;lecythis spp
187;caraipe;chrysobalanaceae;licania;licania spp
188;macucu chiador;chrysobalanaceae;licania;licania spp
190;louro pirarucu;lauraceae;licaria;licaria crassifolia
194;louro falso aritu;lauraceae;licaria;licaria sp 2
195;louro preto;lauraceae;licaria;licaria sp 2
196;louro ferro;lauraceae;licaria;licaria spp
201;taquari;euphorbiaceae;mabea;mabea spp
202;macaranduba;sapotaceae;manilkara;manilkara spp
204;gito;meliaceae;meliaceae;meliaceae spp
205;itauba;lauraceae;mezilaurus;mezilaurus cf synandra
206;itauba fm;lauraceae;mezilaurus;mezilaurus cf synandra
207;buchuchu canela velho;melastomataceae;miconia;miconia dicrophylla
208;buchuchu folha serrilhada;melastomataceae;miconia;miconia dicrophylla
209;buchuchu orelha burro;melastomataceae;miconia;miconia dicrophylla
210;tinteiro;melastomataceae;miconia;miconia dicrophylla
229;buchuchu canela velh;melastomataceae;miconia;miconia spp
230;buchuchu canela velho;melastomataceae;miconia;miconia spp
231;buchuchu folha serrilhada;melastomataceae;miconia;miconia spp
232;buchuchu fs;melastomataceae;miconia;miconia spp
233;buxuxu folha serrilhada;melastomataceae;miconia;miconia spp
234;orelha burro;melastomataceae;miconia;miconia spp
237;chiclete bravo;sapotaceae;micropholis;micropholis spp
239;amapa amargoso;moraceae;moraceae;moraceae spp
240;inhare;moraceae;moraceae;moraceae spp
241;muiratinga;moraceae;moraceae;moraceae spp
242;muiraximbe;rubiaceae;morinda;morinda sp
243;bacuri espinho;clusiaceae;moronobea;moronobea coccinea/pulchra
244;mamaozinho;melastomataceae;mouriri;mouriri duckeana/duckeanoides
245;muirauba;melastomataceae;mouriri;mouriri duckeana/duckeanoides
246;falsa cupiuba;myrtaceae;myrcia;myrcia cf minutiflora
247;azeitona mata;myrtaceae;myrcia;myrcia cf splendens
249;goiabinha;myrtaceae;myrcia;myrcia spp
251;ucuuba;myristicaceae;myristicaceae;myristicaceae spp
252;uucuba branca;myristicaceae;myristicaceae;myristicaceae spp
253;araca bravo;myrtaceae;myrtaceae;myrtaceae sp 3
254;araca bravo;myrtaceae;myrtaceae;myrtaceae spp
255;louro preto;myrtaceae;myrtaceae;myrtaceae spp
259;breu;nyctaginaceae;neea;neea cf madeirana
260;joao mole;nyctaginaceae;neea;neea cf madeirana
261;joao mole;nyctaginaceae;neea;neea cf verticillata
262;joao mole;nyctaginaceae;neea;neea cf virens
263;joao mole;nyctaginaceae;neea;neea spp
264;joao mole;nyctaginaceae;nyctaginaceae;nyctaginaceae sp 1
275;chiclete bravo;fabaceae;parkia;parkia spp
276;fava parckia;fabaceae;parkia;parkia spp
277;faveira bengue;fabaceae;parkia;parkia spp
278;faveira parkia;fabaceae;parkia;parkia spp
280;embaubarana;urticaceae;pourouma;pourouma spp
283;jarai;sapotaceae;pouteria;pouteria cf ambelaniifolia
284;jarai;sapotaceae;pouteria;pouteria cf cuspidata
285;jarai;sapotaceae;pouteria;pouteria cf elegans
286;abiurana olho veado;sapotaceae;pouteria;pouteria cf engleri
287;abiurana casca fina;sapotaceae;pouteria;pouteria cf macrophylla
288;abiurana cutite fl;sapotaceae;pouteria;pouteria cf macrophylla
289;abiurana olho veado;sapotaceae;pouteria;pouteria cf procera
290;abiurana roxa;sapotaceae;pouteria;pouteria cf procera
291;abiurana olho veado;sapotaceae;pouteria;pouteria cf rhynchocarpa
301;chiclete bravo;sapotaceae;pouteria;pouteria sp 1
