_id;common_name;family;genus;species;suggestion
"abarema adenophora;fabaceae;abarema;marupa roxo";marupa roxo;fabaceae;abarema;abarema adenophora;abarema macradenia
"abarema cochleata;fabaceae;abarema;sucupira chorona";sucupira chorona;fabaceae;abarema;abarema cochleata;
"aiouea cf lehmannii;lauraceae;aiouea;louro preto";louro preto;lauraceae;aiouea;aiouea cf lehmannii;otoba lehmannii
"aiouea maguireana;lauraceae;aiouea;pera";pera;lauraceae;aiouea;aiouea maguireana;aiouea impressa
"albizia duckeana;fabaceae;albizia;visgueiro";visgueiro;fabaceae;albizia;albizia duckeana;albizia acle
"alchorneopsis floribunda;euphorbiaceae;alchorneopsis;pau pombo";pau pombo;euphorbiaceae;alchorneopsis;alchorneopsis floribunda;unonopsis floribunda
"alibertia claviflora;rubiaceae;alibertia;purui";purui;rubiaceae;alibertia;alibertia claviflora;alibertia curviflora
"allophylus latifolius;sapindaceae;allophylus;muiraximbe";muiraximbe;sapindaceae;allophylus;allophylus latifolius;allophylus africanus
"amaioua corymbosa;rubiaceae;amaioua;muiraximbe";muiraximbe;rubiaceae;amaioua;amaioua corymbosa;laetia corymbulosa
"andira spp;fabaceae;andira;sucupira chorona";sucupira chorona;fabaceae;andira;andira spp;
"aniba spp;lauraceae;aniba;louro amarelo";louro amarelo;lauraceae;aniba;aniba spp;
"annona neoinsignis;annonaceae;annona;envira";envira;annonaceae;annona;annona neoinsignis;aldina insignis
"annona neoinsignis;annonaceae;annona;envira bobo";envira bobo;annonaceae;annona;annona neoinsignis;aldina insignis
"annonaceae spp;annonaceae;annonaceae;envira amargosa";envira amargosa;annonaceae;annonaceae;annonaceae spp;
"annonaceae spp;annonaceae;annonaceae;envira preta";envira preta;annonaceae;annonaceae;annonaceae spp;
"annonaceae spp;annonaceae;annonaceae;envira taripucu";envira taripucu;annonaceae;annonaceae;annonaceae spp;
"apeiba echinata;malvaceae;apeiba;envira pente macaco";envira pente macaco;malvaceae;apeiba;apeiba echinata;apeiba indet
"araliaceae sp;araliaceae;araliaceae;louro";louro;araliaceae;araliaceae;araliaceae sp;
"aspidosperma carapanauba;apocynaceae;aspidosperma;carapanauba";carapanauba;apocynaceae;aspidosperma;aspidosperma carapanauba;aspidosperma araracanga
"aspidosperma spp;apocynaceae;aspidosperma;piquia";piquia;apocynaceae;aspidosperma;aspidosperma spp;aspidosperma cuspa
"aspidosperma spp;apocynaceae;aspidosperma;piquia marfim";piquia marfim;apocynaceae;aspidosperma;aspidosperma spp;aspidosperma cuspa
