_id;common_name;family;genus;species
9;muiraximbe;rubiaceae;alibertia;alibertia sp
10;muiraximbe;rubiaceae;amaioua;amaioua aff guianensis
13;muiraximbe;rubiaceae;amaioua;amaioua sp
15;louro amarelo;lauraceae;aniba;aniba panurensis sensu lato
16;louro aritu;lauraceae;aniba;aniba panurensis sensu lato
17;louro rosa;lauraceae;aniba;aniba panurensis sensu lato
20;ata brava;annonaceae;annonaceae;annonaceae spp
21;envira;annonaceae;annonaceae;annonaceae spp
22;envira amargosa;annonaceae;annonaceae;annonaceae spp
23;envira mata;annonaceae;annonaceae;annonaceae spp
24;envira preta;annonaceae;annonaceae;annonaceae spp
25;envira taripucu;annonaceae;annonaceae;annonaceae spp
29;piquia marfim;apocynaceae;aspidosperma;aspidosperma spp
30;muiracatiara;anacardiaceae;astronium;astronium cf ulei
31;muiracatiara;anacardiaceae;astronium;astronium spp
32;tanimbuca;combretaceae;buchenavia;buchenavia aff grandis
33;tanimbuca;combretaceae;buchenavia;buchenavia spp
34;breu manga;burseraceae;burseraceae;burseraceae spp
40;araca bravo;myrtaceae;calyptranthes;calyptranthes sp
41;araca roxo;myrtaceae;calyptranthes;calyptranthes sp
42;piabinha;salicaceae;casearia;casearia spp
44;embauba branca;urticaceae;cecropia;cecropia spp
45;macucu fofo;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp
46;pajura mata;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp
47;pajurazinho;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp
48;abiurana;sapotaceae;chrysophyllum;chrysophyllum aff pomiferum
49;ucuquirana brava;sapotaceae;chrysophyllum;chrysophyllum spp
52;freijo branco;boraginaceae;cordia;cordia sp 1
53;envira fofa;boraginaceae;cordia;cordia sp 2
54;freijo branco;boraginaceae;cordia;cordia spp
65;envira amarela;annonaceae;duguetia;duguetia spp
83;ripeiro;lecythidaceae;eschweilera;eschweilera romeu cardosoi
84;ripeiro branco;lecythidaceae;eschweilera;eschweilera romeu cardosoi
85;ripeiro vermelho;lecythidaceae;eschweilera;eschweilera romeu cardosoi
86;matamata amarelo;lecythidaceae;eschweilera;eschweilera spp
87;matamata preto;lecythidaceae;eschweilera;eschweilera spp
88;murici mata;lecythidaceae;eschweilera;eschweilera spp
