_id;common_name;family;genus;species;suggestion
"abarema cochleata;fabaceae;abarema;inga cauliflora";inga cauliflora;fabaceae;abarema;abarema cochleata;
"abarema mataybifolia;fabaceae;abarema;inga amarela";inga amarela;fabaceae;abarema;abarema mataybifolia;premna latifolia
"abarema piresii;fabaceae;abarema;falso angelim";falso angelim;fabaceae;abarema;abarema piresii;mabea piriri
"abarema piresii;fabaceae;abarema;fava amarela";fava amarela;fabaceae;abarema;abarema piresii;mabea piriri
"aiouea grandifolia;lauraceae;aiouea;louro fofo";louro fofo;lauraceae;aiouea;aiouea grandifolia;ixora grandifolia
"aiouea myristicoides;lauraceae;aiouea;louro preto";louro preto;lauraceae;aiouea;aiouea myristicoides;
"albizia duckeana;fabaceae;albizia;fava";fava;fabaceae;albizia;albizia duckeana;albizia acle
"alchorneopsis floribunda;euphorbiaceae;alchorneopsis;tapura";tapura;euphorbiaceae;alchorneopsis;alchorneopsis floribunda;unonopsis floribunda
"alibertia sp;rubiaceae;alibertia;muiraximbe";muiraximbe;rubiaceae;alibertia;alibertia sp;alibertia edulis
"amaioua aff guianensis;rubiaceae;amaioua;muiraximbe";muiraximbe;rubiaceae;amaioua;amaioua aff guianensis;amaioua guianensis
"amaioua corymbosa;rubiaceae;amaioua;abiurana";abiurana;rubiaceae;amaioua;amaioua corymbosa;laetia corymbulosa
"amaioua corymbosa;rubiaceae;amaioua;muiraximbe";muiraximbe;rubiaceae;amaioua;amaioua corymbosa;laetia corymbulosa
"amaioua sp;rubiaceae;amaioua;muiraximbe";muiraximbe;rubiaceae;amaioua;amaioua sp;
"andira trifoliolata;fabaceae;andira;sucupira chorona";sucupira chorona;fabaceae;andira;andira trifoliolata;andira unifoliolata
"aniba panurensis sensu lato;lauraceae;aniba;louro amarelo";louro amarelo;lauraceae;aniba;aniba panurensis sensu lato;aniba panurensis
"aniba panurensis sensu lato;lauraceae;aniba;louro aritu";louro aritu;lauraceae;aniba;aniba panurensis sensu lato;aniba panurensis
"aniba panurensis sensu lato;lauraceae;aniba;louro rosa";louro rosa;lauraceae;aniba;aniba panurensis sensu lato;aniba panurensis
"annona amazonica;annonaceae;annona;envira fofa";envira fofa;annonaceae;annona;annona amazonica;aniba amazonica
"annona neoinsignis;annonaceae;annona;envira bobo";envira bobo;annonaceae;annona;annona neoinsignis;aldina insignis
"annonaceae spp;annonaceae;annonaceae;ata brava";ata brava;annonaceae;annonaceae;annonaceae spp;
"annonaceae spp;annonaceae;annonaceae;envira";envira;annonaceae;annonaceae;annonaceae spp;
"annonaceae spp;annonaceae;annonaceae;envira amargosa";envira amargosa;annonaceae;annonaceae;annonaceae spp;
"annonaceae spp;annonaceae;annonaceae;envira mata";envira mata;annonaceae;annonaceae;annonaceae spp;
"annonaceae spp;annonaceae;annonaceae;envira preta";envira preta;annonaceae;annonaceae;annonaceae spp;
"annonaceae spp;annonaceae;annonaceae;envira taripucu";envira taripucu;annonaceae;annonaceae;annonaceae spp;
"apeiba echinata;malvaceae;apeiba;envira fofa";envira fofa;malvaceae;apeiba;apeiba echinata;apeiba indet
"apeiba echinata;malvaceae;apeiba;envira pente macaco";envira pente macaco;malvaceae;apeiba;apeiba echinata;apeiba indet
"aspidosperma carapanauba;apocynaceae;aspidosperma;carapanauba";carapanauba;apocynaceae;aspidosperma;aspidosperma carapanauba;aspidosperma araracanga
"aspidosperma spp;apocynaceae;aspidosperma;piquia marfim";piquia marfim;apocynaceae;aspidosperma;aspidosperma spp;aspidosperma cuspa
"astronium cf ulei;anacardiaceae;astronium;muiracatiara";muiracatiara;anacardiaceae;astronium;astronium cf ulei;astronium ulei
"astronium spp;anacardiaceae;astronium;muiracatiara";muiracatiara;anacardiaceae;astronium;astronium spp;astronium ulei
"buchenavia aff grandis;combretaceae;buchenavia;tanimbuca";tanimbuca;combretaceae;buchenavia;buchenavia aff grandis;buchenavia grandis
"buchenavia spp;combretaceae;buchenavia;tanimbuca";tanimbuca;combretaceae;buchenavia;buchenavia spp;buchenavia grandis
"burseraceae spp;burseraceae;burseraceae;breu manga";breu manga;burseraceae;burseraceae;burseraceae spp;
"byrsonima duckeana;malpighiaceae;byrsonima;goiaba anta branca";goiaba anta branca;malpighiaceae;byrsonima;byrsonima duckeana;byrsonima densa
"byrsonima duckeana;malpighiaceae;byrsonima;inga vermelho";inga vermelho;malpighiaceae;byrsonima;byrsonima duckeana;byrsonima densa
"byrsonima duckeana;malpighiaceae;byrsonima;murici";murici;malpighiaceae;byrsonima;byrsonima duckeana;byrsonima densa
"byrsonima duckeana;malpighiaceae;byrsonima;murici mata";murici mata;malpighiaceae;byrsonima;byrsonima duckeana;byrsonima densa
"byrsonima duckeana;malpighiaceae;byrsonima;murici vermelho";murici vermelho;malpighiaceae;byrsonima;byrsonima duckeana;byrsonima densa
"calyptranthes sp;myrtaceae;calyptranthes;araca bravo";araca bravo;myrtaceae;calyptranthes;calyptranthes sp;calyptranthes speciosa
"calyptranthes sp;myrtaceae;calyptranthes;araca roxo";araca roxo;myrtaceae;calyptranthes;calyptranthes sp;calyptranthes speciosa
"casearia spp;salicaceae;casearia;piabinha";piabinha;salicaceae;casearia;casearia spp;
"catostemma milanezii;malvaceae;catostemma;castanha paca";castanha paca;malvaceae;catostemma;catostemma milanezii;catostemma indet
"cecropia spp;urticaceae;cecropia;embauba branca";embauba branca;urticaceae;cecropia;cecropia spp;cecropia obtusa
"chrysobalanaceae spp;chrysobalanaceae;chrysobalanaceae;macucu fofo";macucu fofo;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp;
"chrysobalanaceae spp;chrysobalanaceae;chrysobalanaceae;pajura mata";pajura mata;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp;
"chrysobalanaceae spp;chrysobalanaceae;chrysobalanaceae;pajurazinho";pajurazinho;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp;
"chrysophyllum aff pomiferum;sapotaceae;chrysophyllum;abiurana";abiurana;sapotaceae;chrysophyllum;chrysophyllum aff pomiferum;chrysophyllum pomiferum
"chrysophyllum spp;sapotaceae;chrysophyllum;ucuquirana brava";ucuquirana brava;sapotaceae;chrysophyllum;chrysophyllum spp;chrysophyllum indet
"connarus perrottetii;connaraceae;connarus;rabo arara";rabo arara;connaraceae;connarus;connarus perrottetii;
"connarus perrottetii;connaraceae;connarus;tento preto";tento preto;connaraceae;connarus;connarus perrottetii;
"cordia sp 1;boraginaceae;cordia;freijo branco";freijo branco;boraginaceae;cordia;cordia sp 1;
"cordia sp 2;boraginaceae;cordia;envira fofa";envira fofa;boraginaceae;cordia;cordia sp 2;
"cordia spp;boraginaceae;cordia;freijo branco";freijo branco;boraginaceae;cordia;cordia spp;
