parcelas;transecto;owner;institution
ABUF_CAJ_01.shp;NP_T-0368_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_CAJ_02.shp;NP_T-0368_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_CAJ_03.shp;NP_T-0368_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_CAJ_04.shp;NP_T-0368_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_CAJ_05.shp;NP_T-0368_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_CAJ_06.shp;NP_T-0368_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_CAS_1A.shp;NP_T-0369_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_CAS_1C.shp;NP_T-0369_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_CAS_1D.shp;NP_T-0369_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_CAS_2A.shp;NP_T-0369_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_CAS_2B.shp;NP_T-0369_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_CAS_2C.shp;NP_T-0369_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_CAS_2D.shp;NP_T-0369_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_CHA_1A.shp;NP_T-0367_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_CHA_1B.shp;NP_T-0367_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_CHA_1C.shp;NP_T-0367_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_CHA_1D.shp;NP_T-0367_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_RUD_2B.shp;NP_T-0368_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_RUD_2C.shp;NP_T-0368_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_RUD_3A.shp;NP_T-0368_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_RUD_3B.shp;NP_T-0368_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_RUD_3C.shp;NP_T-0368_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_RUD_3D.shp;NP_T-0368_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_RUD_4A.shp;NP_T-0368_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_RUD_4C.shp;NP_T-0368_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_TAB_1A.shp;NP_T-0369_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_TAB_1B.shp;NP_T-0369_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_TAB_1C.shp;NP_T-0369_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_TAB_1D.shp;NP_T-0369_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_TAB_2A.shp;NP_T-0369_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_TAB_2B.shp;NP_T-0369_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_TAB_2C.shp;NP_T-0369_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_TAB_2D.shp;NP_T-0369_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_TAM_1A.shp;NP_T-0367_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_TAM_1B.shp;NP_T-0367_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_TAM_1C.shp;NP_T-0367_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_TAM_1D.shp;NP_T-0367_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_TAM_2A.shp;NP_T-0367_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_TAM_2B.shp;NP_T-0367_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_TAM_2C.shp;NP_T-0367_dn_g_n_ch1_5.laz;Niro;INPA
ABUF_TAM_2D.shp;NP_T-0367_dn_g_n_ch1_5.laz;Niro;INPA
AUAT_MUL_1A.shp;NP_T-0375_dn_g_n_ch1_5.laz;Niro;INPA
AUAT_MUL_1B.shp;NP_T-0375_dn_g_n_ch1_5.laz;Niro;INPA
AUAT_MUL_1C.shp;NP_T-0375_dn_g_n_ch1_5.laz;Niro;INPA
AUAT_MUL_1D.shp;NP_T-0375_dn_g_n_ch1_5.laz;Niro;INPA
AUAT_MUL_4A.shp;NP_T-0375_dn_g_n_ch1_5.laz;Niro;INPA
AUAT_MUL_4B.shp;NP_T-0375_dn_g_n_ch1_5.laz;Niro;INPA
AUAT_MUL_4C.shp;NP_T-0375_dn_g_n_ch1_5.laz;Niro;INPA
AUAT_MUL_4D.shp;NP_T-0375_dn_g_n_ch1_5.laz;Niro;INPA
AUAT_VEN_1A.shp;NP_T-0375_dn_g_n_ch1_5.laz;Niro;INPA
AUAT_VEN_1B.shp;NP_T-0375_dn_g_n_ch1_5.laz;Niro;INPA
AUAT_VEN_1C.shp;NP_T-0375_dn_g_n_ch1_5.laz;Niro;INPA
AUAT_VEN_1D.shp;NP_T-0375_dn_g_n_ch1_5.laz;Niro;INPA
AUAT_VEN_2A.shp;NP_T-0375_dn_g_n_ch1_5.laz;Niro;INPA
AUAT_VEN_2B.shp;NP_T-0375_dn_g_n_ch1_5.laz;Niro;INPA
AUAT_VEN_2C.shp;NP_T-0375_dn_g_n_ch1_5.laz;Niro;INPA
AUAT_VEN_2D.shp;NP_T-0375_dn_g_n_ch1_5.laz;Niro;INPA
AUAT_VEN_3A.shp;NP_T-0375_dn_g_n_ch1_5.laz;Niro;INPA
AUAT_VEN_3B.shp;NP_T-0375_dn_g_n_ch1_5.laz;Niro;INPA
AUAT_VEN_3C.shp;NP_T-0375_dn_g_n_ch1_5.laz;Niro;INPA
AUAT_VEN_3D.shp;NP_T-0375_dn_g_n_ch1_5.laz;Niro;INPA
CP_L1_01a06.shp;NP_T-0403_dn_g_n_ch1_5.laz;Niro;INPA
CP_L1_07a12.shp;NP_T-0403_dn_g_n_ch1_5.laz;Niro;INPA
CP_L1_13a18.shp;NP_T-0403_dn_g_n_ch1_5.laz;Niro;INPA
CP_L1_19a24.shp;NP_T-0403_dn_g_n_ch1_5.laz;Niro;INPA
CP_L2_01a06.shp;NP_T-0403_dn_g_n_ch1_5.laz;Niro;INPA
CP_L2_07a12.shp;NP_T-0403_dn_g_n_ch1_5.laz;Niro;INPA
CP_L2_13a18.shp;NP_T-0403_dn_g_n_ch1_5.laz;Niro;INPA
CP_L2_19a24.shp;NP_T-0403_dn_g_n_ch1_5.laz;Niro;INPA
FLON_BRA_01.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_BRA_02.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_BRA_03.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_BRA_04.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_BRA_05.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_BRA_06.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_FOR_04.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_FOR_05.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_FOR_06.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_PUR_1A.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_PUR_1B.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_PUR_1C.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_PUR_1D.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
FLON_PUR_4C.shp;NP_T-0360_dn_g_n_ch1_5.laz;Niro;INPA
ISA_T03_P02.shp;NP_T-0414_dn_g_n_ch1_5.laz;Izaya;South Dakota State University
ISA_T03_P03.shp;NP_T-0414_dn_g_n_ch1_5.laz;Izaya;South Dakota State University
ISA_T03_P04.shp;NP_T-0414_dn_g_n_ch1_5.laz;Izaya;South Dakota State University
ISA_T03_P05.shp;NP_T-0414_dn_g_n_ch1_5.laz;Izaya;South Dakota State University
ISA_T03_P06.shp;NP_T-0414_dn_g_n_ch1_5.laz;Izaya;South Dakota State University
POLYANA_P01.shp;T_637;Polyana Bispo;Univeristy of Leicester
POLYANA_P02.shp;T_637;Polyana Bispo;Univeristy of Leicester
POLYANA_P03.shp;T_635;Polyana Bispo;Univeristy of Leicester
POLYANA_P04.shp;T_635;Polyana Bispo;Univeristy of Leicester
POLYANA_P05.shp;T_635;Polyana Bispo;Univeristy of Leicester
POLYANA_P06.shp;sem lidar;Polyana Bispo;Univeristy of Leicester
POLYANA_P07.shp;sem lidar;Polyana Bispo;Univeristy of Leicester
